experiment_family,run_root,run_name,run_directory,dataset_path,dataset_name,cleaned_dataset_path,feature_set_name,prediction_context,target_kind,selection_scope,subset_column,subset_value,tuning_applied,source_table,model_name,model_display_name,validation_macro_f1,validation_accuracy,test_macro_f1,test_accuracy,validation_r2,test_r2,validation_mae,test_mae,validation_feature_columns_before_encoding,test_feature_columns_before_encoding,best_params,is_best_validation_in_scope,is_best_test_in_scope
classification_global,model_benchmark,20260313_204849,experiments/model_benchmark/20260313_204849,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,baseline_raw,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_204849/model_comparison.csv,logistic_regression,Logistic Regression,0.4753250407283106,0.5044348116038679,0.4704389818578883,0.5007001400280056,,,,,8.0,8.0,,False,False
classification_global,model_benchmark,20260313_204849,experiments/model_benchmark/20260313_204849,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,baseline_raw,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_204849/model_comparison.csv,random_forest,Random Forest,0.4990881648503579,0.5037012337445815,0.4973323007510845,0.5017003400680136,,,,,8.0,8.0,,False,False
classification_global,model_benchmark,20260313_204849,experiments/model_benchmark/20260313_204849,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,baseline_raw,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_204849/model_comparison.csv,xgboost,XGBoost,0.4993831318861998,0.499566522174058,0.5134407501117548,0.5137027405481096,,,,,8.0,8.0,,True,True
classification_global,model_benchmark,20260313_221036,experiments/model_benchmark/20260313_221036,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,baseline_raw,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_221036/model_comparison.csv,dummy_most_frequent,Dummy Most Frequent,0.3342656721719055,0.5021007002334111,0.3342655480090558,0.5021004200840168,,,,,7.0,7.0,,False,False
classification_global,model_benchmark,20260313_221036,experiments/model_benchmark/20260313_221036,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,baseline_raw,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_221036/model_comparison.csv,logistic_regression,Logistic Regression,0.4731713505008034,0.5069689896632211,0.4631955390956845,0.498499699939988,,,,,7.0,7.0,,False,False
classification_global,model_benchmark,20260313_221036,experiments/model_benchmark/20260313_221036,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,baseline_raw,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_221036/model_comparison.csv,random_forest,Random Forest,0.4989842816553649,0.5023007669223074,0.5008942186912255,0.5043008601720345,,,,,7.0,7.0,,False,False
classification_global,model_benchmark,20260313_221036,experiments/model_benchmark/20260313_221036,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,baseline_raw,pre_execution,fault_type_classification,run,,,False,experiments/model_benchmark/20260313_221036/model_comparison.csv,xgboost,XGBoost,0.4992393442280395,0.4994998332777592,0.5071933729195076,0.50750150030006,,,,,7.0,7.0,,True,True
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,5.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,dummy_most_frequent,Dummy Most Frequent,0.3380350194552529,0.5106539309331374,0.3381924198250728,0.5110132158590308,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,5.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,logistic_regression,Logistic Regression,0.458471361154807,0.4944893460690668,0.4669790583769078,0.5,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,5.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,random_forest,Random Forest,0.5093200576846368,0.5165319617927994,0.5338262043067535,0.5374449339207048,,,,,18.0,18.0,,False,True
